date,open,high,low,close,volume
2024-05-22,119.44,120.95,117.92,119.5,8002
2024-05-23,119.8,121.11,118.18,119.26,6115
2024-05-24,119.52,121.19,115.4,117.27,1137
2024-05-27,117.25,118.8,116.17,118.18,8941
2024-05-28,115.74,117.21,115.08,115.64,2906
2024-05-29,113.12,116.77,112.22,115.42,7031
2024-05-30,114.15,115.5,112.1,114.71,4266
2024-05-31,115.24,116.65,114.73,115.26,8956
2024-06-03,114.65,115.06,113.54,113.74,7376
2024-06-04,114.64,114.93,113.55,114.31,8240
2024-06-05,114.26,115.83,112.07,113.23,3878
2024-06-06,113.43,114.69,111.34,113.47,9717
2024-06-07,111.75,114.33,110.08,113.28,5621
2024-06-10,114.26,116.52,114.19,114.8,4345
2024-06-11,116.55,117.12,113.07,113.69,9905
2024-06-12,115.04,115.5,113.81,115.3,5632
2024-06-13,115.55,118.18,113.72,116.6,7371
2024-06-14,119.37,122.38,118.34,120.58,7738
2024-06-17,118.74,120.88,115.97,117.39,1876
2024-06-18,117.98,117.99,117.22,117.75,2605
2024-06-19,116.98,117.42,115.75,116.41,4735
2024-06-20,113.5,116.52,113.24,114.28,8489
2024-06-21,115.19,115.37,112.94,115.35,3551
2024-06-24,116.29,118.63,115.05,116.95,7316
2024-06-25,116.18,117.6,115.19,116.84,1224
2024-06-26,117.09,120.78,115.3,119.1,2828
2024-06-27,120.01,120.79,118.58,120.02,1009
2024-06-28,122.42,125.35,120.74,124.84,2619
2024-07-01,125.89,127.8,122.98,124.47,4490
2024-07-02,125.18,127.26,122.52,124.93,2908
2024-07-03,125.14,125.71,124.97,125.25,6415
2024-07-04,125.98,128.51,123.96,126.61,5820
2024-07-05,125.88,127.47,122.75,125.02,1600
2024-07-08,124.68,127.92,123.59,125.87,7943
2024-07-09,123.51,125.36,121.84,123.08,3712
2024-07-10,121.59,122.88,119.47,119.63,5018
2024-07-11,116.89,119.35,115.18,118.56,6567
2024-07-12,120.58,121.97,118.14,120.54,2120
2024-07-15,121.71,122.94,121.22,122.59,5612
2024-07-16,122.17,125.2,121.9,123.18,7371
2024-07-17,125.96,127.22,123.44,124.78,3371
2024-07-18,125.99,128.84,124.24,127.21,1793
2024-07-19,126.23,126.69,122.39,124.66,7166
2024-07-22,125.47,125.86,123.93,125.4,1984
2024-07-23,126.49,127.99,125.05,125.31,4876
2024-07-24,124.32,126.34,122.81,124.9,6109
2024-07-25,124.49,124.9,123.44,123.91,4030
2024-07-26,127.05,128.74,126.91,127.72,9393
2024-07-29,126.42,127.78,122.04,124.33,9577
2024-07-30,122.4,124.65,117.59,118.99,5971
2024-07-31,118.76,120.51,118.37,119.13,4572
2024-08-01,118.86,121.08,117.36,119.69,6588
2024-08-02,120.22,121.34,118.88,120.24,9533
2024-08-05,123.33,123.57,121.48,123.4,9058
2024-08-06,122.7,125.25,121.17,124.09,9477
2024-08-07,124.46,126.66,122.69,125.92,7645
2024-08-08,123.3,124.68,121.39,121.77,7016
2024-08-09,121.08,122.9,120.15,120.81,7305
2024-08-12,120.37,120.75,118.57,120.29,1832
2024-08-13,118.34,119.21,117.14,118.74,9519
2024-08-14,118.86,119.28,117.15,118.7,4054
2024-08-15,119.73,122.86,118.28,120.47,3538
2024-08-16,120.14,120.92,118.66,118.87,5425
2024-08-19,116.89,121.07,114.97,118.95,7035
2024-08-20,120.14,121.02,119.45,119.53,2555
2024-08-21,118.0,121.4,116.97,120.07,8083
2024-08-22,119.65,121.31,117.29,119.96,5223
2024-08-23,119.88,121.11,116.51,118.27,5033
2024-08-26,116.67,117.87,114.73,117.54,3051
2024-08-27,118.84,122.18,117.58,120.21,6475
2024-08-28,119.29,120.26,118.1,119.29,2622
2024-08-29,118.22,119.95,116.55,117.14,7136
2024-08-30,120.38,122.39,119.14,120.12,3681
2024-09-02,117.89,120.15,116.29,116.72,5788
2024-09-03,115.05,116.62,114.38,115.72,8679
2024-09-04,115.98,117.91,113.78,116.48,5150
2024-09-05,117.06,118.99,116.56,117.28,8715
2024-09-06,115.83,117.95,113.87,116.0,8674
2024-09-09,114.04,116.94,113.8,115.16,3343
2024-09-10,115.12,118.78,114.12,117.16,8970
2024-09-11,117.75,120.02,117.11,118.38,8009
2024-09-12,118.01,119.92,114.98,117.23,6136
2024-09-13,117.15,118.31,115.88,117.87,9407
2024-09-16,118.69,122.04,116.97,120.22,8119
2024-09-17,119.67,121.61,119.14,120.43,4993
2024-09-18,120.6,120.71,118.73,120.14,9592
2024-09-19,120.47,122.67,118.85,118.93,9820
2024-09-20,117.95,118.95,116.96,118.68,2500
2024-09-23,120.02,122.05,119.16,119.92,4561
2024-09-24,121.54,124.02,120.18,123.12,8980
2024-09-25,123.39,124.23,121.02,122.8,9230
2024-09-26,123.31,125.26,120.16,120.93,9684
2024-09-27,119.3,120.05,117.22,119.99,5346
2024-09-30,120.09,123.65,118.17,121.37,8206
2024-10-01,124.52,125.2,122.73,123.72,8069
2024-10-02,121.63,123.43,118.92,119.5,3050
2024-10-03,117.27,119.27,115.25,116.92,5388
2024-10-04,116.88,118.05,115.29,117.15,2828
2024-10-07,118.31,120.54,116.95,118.05,2868
2024-10-08,117.88,119.85,116.56,117.1,4564
2024-10-09,116.61,118.84,114.57,116.49,2796
2024-10-10,115.04,116.89,113.66,115.69,8657
2024-10-11,113.58,119.51,111.54,117.17,8906
2024-10-14,116.35,117.6,114.16,115.53,2933
2024-10-15,115.37,117.59,114.74,116.67,2218
2024-10-16,117.31,119.88,117.1,118.58,8291
2024-10-17,116.94,118.63,114.94,116.09,9228
2024-10-18,116.89,117.07,113.69,115.65,1317
2024-10-21,117.05,118.27,115.46,117.45,4930
2024-10-22,117.93,119.92,115.88,118.68,3139
2024-10-23,119.66,121.94,118.03,120.26,5286
2024-10-24,119.15,121.97,116.86,119.86,3808
2024-10-25,119.41,121.19,118.04,118.42,3403
2024-10-28,120.27,121.31,119.81,120.69,2136
2024-10-29,119.49,120.58,119.47,119.67,2007
2024-10-30,119.99,121.29,117.21,119.51,2435
2024-10-31,120.24,120.71,117.98,120.46,2887
2024-11-01,121.05,122.77,119.18,120.32,9213
2024-11-04,119.74,121.99,117.41,119.9,9476
2024-11-05,122.32,123.77,120.48,121.41,9220
2024-11-06,123.32,125.0,122.13,123.23,4356
2024-11-07,123.34,126.84,122.61,124.78,2823
2024-11-08,125.09,126.72,123.7,124.38,3896
2024-11-11,124.92,127.37,122.51,125.22,2682
2024-11-12,126.34,126.93,125.55,126.08,4056
2024-11-13,124.51,128.49,123.33,126.3,2607
2024-11-14,125.77,126.0,124.78,125.17,2050
2024-11-15,125.74,128.09,125.41,126.51,9884
2024-11-18,126.3,126.31,123.12,124.61,2875
2024-11-19,122.92,124.13,122.37,122.53,6109
2024-11-20,123.62,124.69,119.1,121.5,5167
2024-11-21,123.88,124.86,121.0,123.4,9357
2024-11-22,124.67,126.81,121.38,123.3,1778
2024-11-25,122.11,122.7,119.64,122.05,6791
2024-11-26,122.04,122.55,120.73,121.57,7047
2024-11-27,122.81,123.13,120.79,122.92,8833
2024-11-28,121.69,123.07,119.68,121.35,4041
2024-11-29,121.47,123.79,120.84,121.14,1634
2024-12-02,121.21,122.93,118.33,120.43,4389
2024-12-03,121.05,123.82,119.45,122.64,1207
2024-12-04,124.25,125.62,122.65,124.5,5904
2024-12-05,124.22,126.02,121.26,122.71,2560
2024-12-06,122.32,125.24,121.5,122.84,2927
2024-12-09,122.61,124.0,122.21,123.89,8057
2024-12-10,122.26,125.07,121.06,123.73,9946
2024-12-11,123.11,123.44,122.47,123.37,8005
2024-12-12,123.26,125.97,121.71,123.88,4453
2024-12-13,124.15,126.55,122.35,125.45,6631
2024-12-16,127.35,131.49,125.68,129.44,2394
2024-12-17,128.29,129.27,125.36,126.54,3958
2024-12-18,127.49,128.52,125.05,126.57,1525
2024-12-19,126.54,128.66,124.34,128.02,2646
2024-12-20,130.0,134.1,129.75,132.34,4216
2024-12-23,132.84,133.52,130.98,132.72,6543
2024-12-24,130.58,133.22,129.96,132.59,4081
2024-12-25,129.82,132.3,128.7,130.15,6895
2024-12-26,132.1,133.67,131.66,133.22,4192
2024-12-27,131.04,134.04,128.99,132.62,3203
2024-12-30,132.85,135.75,132.76,134.3,1968
2024-12-31,135.28,135.45,134.95,135.35,5293
